Category,Betweener,One-timer,Superuser
physical scale,6.8,3.5,12.5
plastic pollution,7.1,9.7,0.2
soil moisture,5.4,6.0,4.4
standing water type,1.3,2.6,0.0
stream type,6.3,16.5,3.2
temporary stream,31.8,26.4,47.5
virtual scale,41.4,35.4,32.1
