user_id,n_spots,spots,weighted_spots
35124,37,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2024-05-26'), (47.393323, 8.553011, 'temporary stream', '2020-10-01', '2023-06-26'), (47.391693, 8.555383, 'temporary stream', '2020-10-01', '2023-01-05'), (47.395013, 8.551618, 'temporary stream', '2020-10-01', '2023-01-05'), (47.389403, 8.56156, 'temporary stream', '2020-11-03', '2023-01-05'), (47.395096, 8.570016, 'temporary stream', '2020-11-03', '2023-01-05'), (47.392019, 8.569112, 'temporary stream', '2020-11-03', '2023-01-05'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2023-01-05'), (47.396384, 8.567287, 'temporary stream', '2020-11-03', '2023-01-05'), (47.391566, 8.557843, 'temporary stream', '2020-11-11', '2023-01-05'), (47.395864, 8.554719, 'temporary stream', '2020-11-12', '2023-01-05'), (47.391974, 8.552873, 'virtual scale', '2020-11-13', '2023-01-05'), (47.390484, 8.560081, 'temporary stream', '2020-12-24', '2023-01-05'), (47.395183, 8.570167, 'temporary stream', '2021-01-26', '2023-01-05'), (47.397035, 8.563857, 'temporary stream', '2021-01-31', '2023-01-05'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2023-01-05'), (47.388274, 8.564053, 'temporary stream', '2021-08-13', '2023-01-05'), (47.388087, 8.563878, 'temporary stream', '2021-08-13', '2023-01-05'), (47.38787, 8.563581, 'temporary stream', '2023-02-05', '2024-05-26'), (47.388274, 8.564053, 'temporary stream', '2023-02-05', '2024-05-26'), (47.389403, 8.56156, 'temporary stream', '2023-02-05', '2024-05-26'), (47.390484, 8.560081, 'temporary stream', '2023-02-05', '2024-05-26'), (47.391566, 8.557843, 'temporary stream', '2023-02-05', '2024-05-26'), (47.396071, 8.56832, 'temporary stream', '2021-10-07', '2023-01-05'), (47.377942, 8.577293, 'temporary stream', '2021-09-26', '2022-11-21'), (47.394035, 8.576515, 'temporary stream', '2021-09-26', '2022-11-21'), (47.381577, 8.577933, 'temporary stream', '2021-09-26', '2022-11-21'), (47.383756, 8.578685, 'temporary stream', '2021-09-26', '2022-11-21'), (47.391408, 8.57954, 'temporary stream', '2021-09-26', '2022-11-21'), (47.391318, 8.579599, 'temporary stream', '2021-09-26', '2022-11-21'), (47.376664, 8.583599, 'temporary stream', '2021-09-26', '2022-11-21'), (47.378601, 8.582788, 'temporary stream', '2021-09-26', '2022-11-21'), (47.390763, 8.580509, 'temporary stream', '2021-09-26', '2022-11-21'), (47.390136, 8.581164, 'temporary stream', '2021-09-26', '2022-11-21'), (47.395954, 8.575262, 'temporary stream', '2021-09-30', '2022-11-21'), (47.394524, 8.576044, 'temporary stream', '2021-09-30', '2022-11-21'), (47.39641, 8.572059, 'temporary stream', '2021-10-05', '2022-11-21')]",12.338
27610,12,"[(51.562064, -0.867595, 'temporary stream', '2022-01-20', '2025-12-19'), (51.580956, -0.87388, 'temporary stream', '2022-01-20', '2025-12-19'), (51.581133, -0.873914, 'temporary stream', '2022-01-20', '2025-12-19'), (51.608782, -0.881946, 'temporary stream', '2022-01-20', '2025-12-19'), (51.602487, -0.880738, 'temporary stream', '2022-01-20', '2025-12-19'), (51.571622, -0.870799, 'temporary stream', '2022-01-20', '2025-12-19'), (51.574168, -0.871882, 'temporary stream', '2022-01-20', '2025-12-19'), (51.558765, -0.868546, 'temporary stream', '2022-01-20', '2025-01-30'), (51.602152, -0.880616, 'temporary stream', '2023-03-02', '2025-12-19'), (51.585528, -0.874559, 'temporary stream', '2022-01-20', '2024-06-21'), (51.602152, -0.880616, 'temporary stream', '2022-01-20', '2023-01-28'), (51.567633, -0.868554, 'temporary stream', '2024-01-24', '2025-01-30')]",11.5
11370,33,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2024-05-26'), (47.393323, 8.553011, 'temporary stream', '2020-10-01', '2023-06-26'), (47.391693, 8.555383, 'temporary stream', '2020-10-01', '2023-01-05'), (47.395013, 8.551618, 'temporary stream', '2020-10-01', '2023-01-05'), (47.389403, 8.56156, 'temporary stream', '2020-11-03', '2023-01-05'), (47.395096, 8.570016, 'temporary stream', '2020-11-03', '2023-01-05'), (47.392019, 8.569112, 'temporary stream', '2020-11-03', '2023-01-05'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2023-01-05'), (47.396384, 8.567287, 'temporary stream', '2020-11-03', '2023-01-05'), (47.391566, 8.557843, 'temporary stream', '2020-11-11', '2023-01-05'), (47.395864, 8.554719, 'temporary stream', '2020-11-12', '2023-01-05'), (47.390484, 8.560081, 'temporary stream', '2020-12-24', '2023-01-05'), (47.395183, 8.570167, 'temporary stream', '2021-01-26', '2023-01-05'), (47.397035, 8.563857, 'temporary stream', '2021-01-31', '2023-01-05'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2023-01-05'), (47.388274, 8.564053, 'temporary stream', '2021-08-13', '2023-01-05'), (47.388087, 8.563878, 'temporary stream', '2021-08-13', '2023-01-05'), (47.38787, 8.563581, 'temporary stream', '2023-02-05', '2024-05-26'), (47.388274, 8.564053, 'temporary stream', '2023-02-05', '2024-05-26'), (47.389403, 8.56156, 'temporary stream', '2023-02-05', '2024-05-26'), (47.390484, 8.560081, 'temporary stream', '2023-02-05', '2024-05-26'), (47.391566, 8.557843, 'temporary stream', '2023-02-05', '2024-05-26'), (47.396071, 8.56832, 'temporary stream', '2021-10-07', '2023-01-05'), (47.396246, 8.547143, 'temporary stream', '2021-02-17', '2022-04-26'), (47.39574, 8.547442, 'temporary stream', '2021-02-17', '2022-04-26'), (47.394035, 8.576515, 'temporary stream', '2021-09-26', '2022-11-21'), (47.391408, 8.57954, 'temporary stream', '2021-09-26', '2022-11-21'), (47.391318, 8.579599, 'temporary stream', '2021-09-26', '2022-11-21'), (47.390763, 8.580509, 'temporary stream', '2021-09-26', '2022-11-21'), (47.390136, 8.581164, 'temporary stream', '2021-09-26', '2022-11-21'), (47.395954, 8.575262, 'temporary stream', '2021-09-30', '2022-11-21'), (47.394524, 8.576044, 'temporary stream', '2021-09-30', '2022-11-21'), (47.39641, 8.572059, 'temporary stream', '2021-10-05', '2022-11-21')]",7.86
3065,7,"[(46.9904, 7.450782, 'virtual scale', '2017-10-25', '2022-02-20'), (46.991798, 7.464945, 'temporary stream', '2018-03-11', '2022-02-20'), (47.03009, 7.51161, 'virtual scale', '2018-06-19', '2022-02-17'), (46.989099, 7.462622, 'soil moisture', '2019-01-06', '2022-02-20'), (46.990429, 7.450526, 'virtual scale', '2019-08-07', '2022-02-20'), (46.996912, 7.437544, 'virtual scale', '2017-10-25', '2019-06-11'), (46.973372, 7.477991, 'physical scale', '2020-12-27', '2022-02-17')]",7.0
29542,8,"[(48.328912, 16.214674, 'temporary stream', '2020-07-11', '2023-12-20'), (48.327366, 16.216394, 'virtual scale', '2020-07-28', '2023-06-29'), (48.345657, 16.238686, 'virtual scale', '2020-07-27', '2022-06-19'), (48.34557, 16.239102, 'soil moisture', '2020-09-02', '2022-06-19'), (48.328912, 16.214674, 'temporary stream', '2024-01-20', '2025-08-26'), (48.34563, 16.239208, 'soil moisture', '2021-01-04', '2022-06-19'), (48.34557, 16.239102, 'soil moisture', '2022-07-28', '2023-10-01'), (48.34563, 16.239208, 'soil moisture', '2022-07-28', '2023-10-01')]",7.0
17235,5,"[(51.546732, -3.264197, 'temporary stream', '2020-03-29', '2022-01-10'), (51.547258, -3.260742, 'temporary stream', '2020-03-29', '2021-09-21'), (51.546977, -3.26152, 'temporary stream', '2020-03-29', '2021-09-21'), (51.546988, -3.261001, 'temporary stream', '2020-03-29', '2021-09-21'), (51.540098, -3.264515, 'virtual scale', '2020-12-19', '2022-01-20')]",5.0
6542,19,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2024-05-26'), (47.393323, 8.553011, 'temporary stream', '2020-10-01', '2023-06-26'), (47.391693, 8.555383, 'temporary stream', '2020-10-01', '2023-01-05'), (47.395013, 8.551618, 'temporary stream', '2020-10-01', '2023-01-05'), (47.389403, 8.56156, 'temporary stream', '2020-11-03', '2023-01-05'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2023-01-05'), (47.391566, 8.557843, 'temporary stream', '2020-11-11', '2023-01-05'), (47.391974, 8.552873, 'virtual scale', '2020-11-13', '2023-01-05'), (47.390484, 8.560081, 'temporary stream', '2020-12-24', '2023-01-05'), (47.127686, 8.743197, 'virtual scale', '2019-02-19', '2020-10-24'), (47.388274, 8.564053, 'temporary stream', '2021-08-13', '2023-01-05'), (47.388087, 8.563878, 'temporary stream', '2021-08-13', '2023-01-05'), (47.38787, 8.563581, 'temporary stream', '2023-02-05', '2024-05-26'), (47.388274, 8.564053, 'temporary stream', '2023-02-05', '2024-05-26'), (47.389403, 8.56156, 'temporary stream', '2023-02-05', '2024-05-26'), (47.390484, 8.560081, 'temporary stream', '2023-02-05', '2024-05-26'), (47.391566, 8.557843, 'temporary stream', '2023-02-05', '2024-05-26'), (47.396246, 8.547143, 'temporary stream', '2021-02-17', '2022-04-26'), (47.39574, 8.547442, 'temporary stream', '2021-02-17', '2022-04-26')]",3.128
11290,3,"[(47.985406, 7.959071, 'virtual scale', '2019-01-14', '2020-06-13'), (47.985418, 7.959271, 'virtual scale', '2020-06-17', '2021-08-08'), (47.985418, 7.959271, 'virtual scale', '2021-10-10', '2022-10-25')]",3.0
82037,3,"[(44.236064, -69.099955, 'physical scale', '2023-05-15', '2026-06-29'), (44.223495, -69.079544, 'physical scale', '2023-05-16', '2024-08-28'), (44.235586, -69.100391, 'virtual scale', '2023-06-27', '2024-08-27')]",2.5
52314,3,"[(46.461532, 6.837685, 'virtual scale', '2021-05-21', '2023-10-03'), (46.505148, 6.641866, 'stream type', '2023-03-16', '2024-06-21'), (46.505148, 6.641866, 'virtual scale', '2023-03-16', '2024-06-21')]",2.5
