user_id,n_spots,spots,weighted_spots
28919,2,"[(47.394939, 8.733537, 'virtual scale', '2020-05', '2026-04'), (47.395523, 8.73067, 'virtual scale', '2020-11', '2026-04')]",2.0
30178,2,"[(49.375062, 8.889207, 'physical scale', '2020-07', '2025-07'), (49.375012, 8.888853, 'physical scale', '2020-07', '2025-07')]",2.0
7079,2,"[(47.303375, 7.695009, 'virtual scale', '2018-06', '2019-10'), (47.316854, 7.652748, 'soil moisture', '2018-06', '2019-09')]",2.0
6542,14,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.391566, 8.557843, 'temporary stream', '2020-10', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.390484, 8.560081, 'temporary stream', '2020-12', '2024-05'), (47.388274, 8.564053, 'temporary stream', '2021-08', '2024-05'), (47.388087, 8.563878, 'temporary stream', '2021-08', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06'), (47.127686, 8.743197, 'virtual scale', '2019-02', '2020-10'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",1.72
52314,2,"[(46.461532, 6.837685, 'virtual scale', '2021-05', '2024-11'), (46.505148, 6.641866, 'virtual scale', '2023-03', '2024-06')]",1.5
25925,2,"[(45.939624, 5.339558, 'temporary stream', '2020-02', '2022-03'), (45.929578, 5.347315, 'temporary stream', '2020-02', '2022-03')]",1.5
11596,12,"[(48.305487, 7.869942, 'virtual scale', '2020-10', '2024-08'), (47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.395183, 8.570167, 'temporary stream', '2020-12', '2024-05'), (47.397035, 8.563857, 'temporary stream', '2021-01', '2024-05'), (47.39214, 8.571244, 'temporary stream', '2021-05', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04')]",1.468
2267,9,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.319702, 8.482807, 'temporary stream', '2021-08', '2022-11'), (47.318585, 8.482644, 'temporary stream', '2021-08', '2022-11'), (47.324408, 8.479897, 'temporary stream', '2021-05', '2022-06')]",1.245
2316,3,"[(47.789612, 13.068625, 'virtual scale', '2018-08', '2024-09'), (47.726072, 13.065014, 'virtual scale', '2017-12', '2022-05'), (47.726031, 13.064971, 'soil moisture', '2018-12', '2020-09')]",1.167
36126,11,"[(47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05'), (47.391566, 8.557843, 'temporary stream', '2020-10', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.395183, 8.570167, 'temporary stream', '2020-12', '2024-05'), (47.397035, 8.563857, 'temporary stream', '2021-01', '2024-05'), (47.39214, 8.571244, 'temporary stream', '2021-05', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06')]",1.109
6400,6,"[(47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.319702, 8.482807, 'temporary stream', '2021-08', '2022-11'), (47.318585, 8.482644, 'temporary stream', '2021-08', '2022-11'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04'), (47.324408, 8.479897, 'temporary stream', '2021-05', '2022-06')]",1.093
