latitude,longitude,Country,Region,streak_days,streak_start,streak_end,n_users,user_ids,n_obs,Category
47.726031,13.064971,Austria,Salzburg,626.0,2018-12-27,2020-09-13,2,"[2316, 4264]",562,soil moisture
47.127686,8.743197,Switzerland,Schwyz,613.0,2019-02-19,2020-10-24,4,"[4152, 6542, 2203, 2005]",240,virtual scale
47.39214,8.571244,Switzerland,Zürich,604.0,2021-05-11,2023-01-05,5,"[36126, 35124, 11596, 11370, 64580]",106,temporary stream
46.996912,7.437544,Switzerland,Bern,594.0,2017-10-25,2019-06-11,1,[3065],84,virtual scale
48.328912,16.214674,Austria,Niederösterreich,584.0,2024-01-20,2025-08-26,1,[29542],177,temporary stream
47.303375,7.695009,Switzerland,Solothurn,551.0,2018-06-19,2019-12-22,1,[7079],226,virtual scale
38.910211,-77.318062,United States of America,Virginia,541.0,2021-09-01,2023-02-24,1,[56020],144,virtual scale
51.547258,-3.260742,United Kingdom,"Rhondda, Cynon, Taff",541.0,2020-03-29,2021-09-21,1,[17235],135,temporary stream
51.546977,-3.26152,United Kingdom,"Rhondda, Cynon, Taff",541.0,2020-03-29,2021-09-21,1,[17235],134,temporary stream
51.546988,-3.261001,United Kingdom,"Rhondda, Cynon, Taff",541.0,2020-03-29,2021-09-21,1,[17235],135,temporary stream
48.34563,16.239208,Austria,Niederösterreich,531.0,2021-01-04,2022-06-19,1,[29542],85,soil moisture
45.929578,5.347315,France,Ain,525.0,2020-02-07,2021-07-16,1,[25925],38,temporary stream
47.985406,7.959071,Germany,Baden-Württemberg,516.0,2019-01-14,2020-06-13,1,[11290],187,virtual scale
47.388274,8.564053,Switzerland,Zürich,510.0,2021-08-13,2023-01-05,4,"[11370, 35124, 59271, 6542]",96,temporary stream
47.388087,8.563878,Switzerland,Zürich,510.0,2021-08-13,2023-01-05,3,"[11370, 35124, 6542]",75,temporary stream
47.38787,8.563581,Switzerland,Zürich,476.0,2023-02-05,2024-05-26,4,"[6542, 35124, 78311, 11370]",46,temporary stream
47.388274,8.564053,Switzerland,Zürich,476.0,2023-02-05,2024-05-26,3,"[6542, 35124, 11370]",45,temporary stream
47.389403,8.56156,Switzerland,Zürich,476.0,2023-02-05,2024-05-26,6,"[6542, 35124, 32346, 11370, 85890, 95698]",48,temporary stream
47.390484,8.560081,Switzerland,Zürich,476.0,2023-02-05,2024-05-26,4,"[6542, 35124, 78311, 11370]",46,temporary stream
47.391566,8.557843,Switzerland,Zürich,476.0,2023-02-05,2024-05-26,3,"[6542, 35124, 11370]",44,temporary stream
44.223495,-69.079544,United States of America,Maine,470.0,2023-05-16,2024-08-28,1,[82037],114,physical scale
52.193365,9.082108,Germany,Niedersachsen,465.0,2024-08-01,2025-11-09,1,[31773],73,temporary stream
46.505148,6.641866,Switzerland,Vaud,463.0,2023-03-16,2024-06-21,1,[52314],92,stream type
46.505148,6.641866,Switzerland,Vaud,463.0,2023-03-16,2024-06-21,1,[52314],92,virtual scale
47.396071,8.56832,Switzerland,Zürich,455.0,2021-10-07,2023-01-05,4,"[35124, 11370, 62018, 64580]",74,temporary stream
48.125518,15.129206,Austria,Niederösterreich,447.0,2018-03-28,2019-06-18,1,[5514],72,virtual scale
52.858377,-6.106779,Ireland,Wicklow,446.0,2023-03-02,2024-05-21,1,[77727],39,virtual scale
47.396246,8.547143,Switzerland,Zürich,433.0,2021-02-17,2022-04-26,18,"[2203, 6542, 50994, 50990, 50991, 51008, 51009, 51006, 51018, 51017, 33740, 11370, 6400, 57517, 57582, 57568, 57523, 57551]",75,temporary stream
47.39574,8.547442,Switzerland,Zürich,433.0,2021-02-17,2022-04-26,11,"[2203, 6542, 39784, 11596, 51001, 51017, 51009, 11370, 6400, 57568, 57523]",63,temporary stream
48.34557,16.239102,Austria,Niederösterreich,430.0,2022-07-28,2023-10-01,1,[29542],43,soil moisture
48.34563,16.239208,Austria,Niederösterreich,430.0,2022-07-28,2023-10-01,1,[29542],40,soil moisture
44.235586,-69.100391,United States of America,Maine,427.0,2023-06-27,2024-08-27,1,[82037],95,virtual scale
47.377942,8.577293,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,1,[35124],52,temporary stream
47.394035,8.576515,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,2,"[35124, 11370]",53,temporary stream
47.381577,8.577933,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,2,"[35124, 65630]",54,temporary stream
47.383756,8.578685,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,1,[35124],52,temporary stream
47.391408,8.57954,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,2,"[35124, 11370]",53,temporary stream
47.391318,8.579599,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,2,"[35124, 11370]",53,temporary stream
47.376664,8.583599,Switzerland,Zürich,421.0,2021-09-26,2022-11-21,1,[35124],52,temporary stream
