user_id,n_spots,spots,weighted_spots
39422,2,"[(46.461532, 6.837685, 'virtual scale', '2022-11-01', '2023-07-19'), (46.461532, 6.837685, 'virtual scale', '2022-01-01', '2022-07-19')]",2.0
6542,12,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.391566, 8.557843, 'temporary stream', '2021-01-26', '2022-08-07'), (47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07'), (47.390484, 8.560081, 'temporary stream', '2021-03-14', '2022-08-07'), (47.127686, 8.743197, 'virtual scale', '2019-04-18', '2020-06-17'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17'), (47.388274, 8.564053, 'temporary stream', '2021-08-13', '2022-08-07'), (47.388087, 8.563878, 'temporary stream', '2021-08-13', '2022-08-07')]",1.939
7867,3,"[(47.789612, 13.068625, 'virtual scale', '2018-08-17', '2020-09-10'), (47.789612, 13.068625, 'virtual scale', '2020-09-25', '2021-08-10'), (47.789612, 13.068625, 'virtual scale', '2021-11-30', '2022-09-28')]",1.833
2316,4,"[(47.726072, 13.065014, 'virtual scale', '2017-12-25', '2021-11-04'), (47.789612, 13.068625, 'virtual scale', '2018-08-17', '2020-09-10'), (47.726031, 13.064971, 'soil moisture', '2018-12-27', '2020-09-13'), (47.789612, 13.068625, 'virtual scale', '2021-11-30', '2022-09-28')]",1.667
2005,4,"[(47.789612, 13.068625, 'virtual scale', '2018-08-17', '2020-09-10'), (47.127686, 8.743197, 'virtual scale', '2019-04-18', '2020-06-17'), (47.942193, 12.934135, 'virtual scale', '2018-12-28', '2019-09-27'), (47.391856, 8.523348, 'virtual scale', '2017-05-30', '2017-12-03')]",1.417
36126,9,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.391566, 8.557843, 'temporary stream', '2021-01-26', '2022-08-07'), (47.395183, 8.570167, 'temporary stream', '2021-03-14', '2022-08-07'), (47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07'), (47.397035, 8.563857, 'temporary stream', '2021-03-14', '2022-08-07'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2022-08-07')]",1.115
109460,3,"[(50.325182, 11.738552, 'physical scale', '2025-09-29', '2026-04-26'), (50.331795, 11.754986, 'virtual scale', '2025-09-29', '2026-04-26'), (50.325226, 11.738534, 'soil moisture', '2025-09-29', '2026-04-26')]",1.033
29636,9,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.391566, 8.557843, 'temporary stream', '2021-01-26', '2022-08-07'), (47.395183, 8.570167, 'temporary stream', '2021-03-14', '2022-08-07'), (47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07'), (47.395864, 8.554719, 'temporary stream', '2021-03-09', '2022-06-26')]",1.002
33894,1,"[(48.305487, 7.869942, 'virtual scale', '2021-01-07', '2022-04-19')]",1.0
7079,1,"[(47.316854, 7.652748, 'soil moisture', '2018-06-19', '2019-01-14')]",1.0
99185,3,"[(50.331795, 11.754986, 'virtual scale', '2025-09-29', '2026-04-26'), (50.332202, 11.75482, 'physical scale', '2025-09-29', '2026-04-26'), (50.325051, 11.738441, 'virtual scale', '2025-09-29', '2026-04-26')]",1.0
476,1,"[(48.179503, 16.259209, 'temporary stream', '2021-07-13', '2022-03-30')]",1.0
49909,1,"[(-27.548102, 153.026157, 'temporary stream', '2021-05-28', '2022-03-01')]",1.0
87709,1,"[(42.771621, 77.474021, 'virtual scale', '2024-12-22', '2025-09-21')]",1.0
12938,1,"[(39.767282, 2.714691, 'temporary stream', '2019-03-16', '2019-10-09')]",1.0
11596,8,"[(47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.395183, 8.570167, 'temporary stream', '2021-03-14', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07'), (47.397035, 8.563857, 'temporary stream', '2021-03-14', '2022-08-07'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2022-08-07')]",0.927
4264,2,"[(47.726072, 13.065014, 'virtual scale', '2017-12-25', '2021-11-04'), (47.726031, 13.064971, 'soil moisture', '2018-12-27', '2020-09-13')]",0.833
2203,8,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.127686, 8.743197, 'virtual scale', '2019-04-18', '2020-06-17'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.784
64580,5,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2022-08-07'), (47.396071, 8.56832, 'temporary stream', '2021-10-07', '2022-08-07')]",0.646
125372,2,"[(50.325182, 11.738552, 'physical scale', '2025-09-29', '2026-04-26'), (50.332202, 11.75482, 'physical scale', '2025-09-29', '2026-04-26')]",0.533
32535,1,"[(48.327366, 16.216394, 'virtual scale', '2020-07-28', '2022-04-27')]",0.5
25791,1,"[(48.345657, 16.238686, 'virtual scale', '2020-07-27', '2021-10-14')]",0.5
11266,1,"[(47.942193, 12.934135, 'virtual scale', '2018-12-28', '2019-09-27')]",0.5
93483,1,"[(51.060439, -115.328485, 'temporary stream', '2019-08-02', '2024-05-30')]",0.5
65630,1,"[(47.381577, 8.577933, 'temporary stream', '2021-09-26', '2022-08-09')]",0.5
15185,1,"[(51.060439, -115.328485, 'temporary stream', '2019-08-02', '2024-05-30')]",0.5
38316,5,"[(47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.391566, 8.557843, 'temporary stream', '2021-01-26', '2022-08-07'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.416
28321,2,"[(-37.841612, -71.689968, 'virtual scale', '2020-05-16', '2020-12-17'), (-37.830344, -71.674649, 'virtual scale', '2020-05-20', '2020-12-17')]",0.367
28674,2,"[(-37.841612, -71.689968, 'virtual scale', '2020-05-16', '2020-12-17'), (-37.830344, -71.674649, 'virtual scale', '2020-05-20', '2020-12-17')]",0.367
28682,2,"[(-37.841612, -71.689968, 'virtual scale', '2020-05-16', '2020-12-17'), (-37.830344, -71.674649, 'virtual scale', '2020-05-20', '2020-12-17')]",0.367
28694,2,"[(-37.841612, -71.689968, 'virtual scale', '2020-05-16', '2020-12-17'), (-37.830344, -71.674649, 'virtual scale', '2020-05-20', '2020-12-17')]",0.367
28317,2,"[(-37.841612, -71.689968, 'virtual scale', '2020-05-16', '2020-12-17'), (-37.830344, -71.674649, 'virtual scale', '2020-05-20', '2020-12-17')]",0.367
6097,4,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.395183, 8.570167, 'temporary stream', '2021-03-14', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.362
62018,2,"[(47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07'), (47.396071, 8.56832, 'temporary stream', '2021-10-07', '2022-08-07')]",0.35
118665,1,"[(50.325051, 11.738441, 'virtual scale', '2025-09-29', '2026-04-26')]",0.333
5659,1,"[(47.726072, 13.065014, 'virtual scale', '2017-12-25', '2021-11-04')]",0.333
59268,2,"[(47.395864, 8.554719, 'temporary stream', '2021-03-09', '2022-06-26'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.327
39906,4,"[(47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17')]",0.309
35073,4,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.304
37064,4,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07')]",0.303
48606,4,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07')]",0.254
59271,1,"[(47.388274, 8.564053, 'temporary stream', '2021-08-13', '2022-08-07')]",0.25
