Expected years of schooling;Mean years of schooling;Education_Index;ADM0_A3
8.7;2.3;0.318144454;BFA
9.8;3.5;0.388837404;BDI
7.0;1.6;0.249092542;MLI
8.3;1.4;0.277879639;NER
8.3;2.3;0.309710336;TCD
7.4;4.0;0.339530154;CAF
7.5;1.9;0.271282365;SOM
5.6;5.7;0.347521393;SSD
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
